RK,TEAM,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,Season
60,Dayton,110.4,98.7,0.7846,56.1,47.8,18.9,17,27.2,27.4,32.5,23.6,59.2,47.7,33.4,31.9,66.1,-2.3,2019
61,Toledo,108.8,97.6,0.7789,53.4,46.8,17.5,15.5,28.6,25.2,26.3,27,50.5,46.6,38.2,31.5,68.9,-0.2,2019
62,Miami FL,109.7,98.4,0.7787,50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,51.4,51.7,33.3,34.9,68.3,-4.7,2019
63,Lipscomb,109.5,98.3,0.777,55.1,48.3,17.9,20.2,26.2,23.4,37.2,28.6,54.2,48,37.7,32.4,74.4,-0.6,2019
64,Illinois,110.1,98.9,0.7761,49.6,52.2,18.4,21.8,29.1,31.9,29.5,42.4,48.2,53.6,34.5,33,71.9,-5.3,2019
65,Temple ,109,97.9,0.7753,49.9,50.6,15.7,20.6,26.9,29.2,32.5,33.9,50.1,51.5,33,32.9,70.1,1.3,2019
66,Murray St. ,110.1,99.1,0.7707,55.2,46.4,17.2,19.5,32.4,30,33.2,28.4,57.2,48.4,34.4,28.5,70.2,1,2019
67,Xavier,110.3,99.4,0.768,53,50.8,19.9,16.4,32,27.6,33,24.7,54.9,49.2,33.3,35.4,66.5,-2.4,2019
68,Arizona St. ,109,98.2,0.767,50.8,48.6,18.5,18.9,32.5,26.4,43.6,38.6,50.6,47.2,34.1,33.6,71.9,-0.2,2019
69,Colorado,106,95.9,0.7595,51.3,48.4,19.3,17.6,31.2,23.7,37.5,31.7,52.8,48.8,32.4,31.7,69.4,-3.8,2019
70,Providence,104.3,94.5,0.7569,48,49.7,18.7,20.2,31.8,28.3,39.1,32.8,47.5,48.8,32.6,34.1,69.2,-3,2019
71,Butler,110.2,100.1,0.7524,51.9,52.7,16.2,19.1,25.8,27.3,25.1,35.9,51.5,52,35,35.8,67.3,-3.9,2019
72,Wichita St.,106.1,96.4,0.7504,46.7,48.4,17.1,18.1,32.8,27.6,29.1,39.9,46.9,47,31,33.8,69.2,-3.3,2019
73,UC Irvine ,106.4,96.8,0.7494,51.4,43.7,17.1,16.7,33.6,26.4,28.6,33.8,50.3,40.7,36,33.3,66.7,0.8,2019
74,Rutgers,105.1,95.9,0.7414,47,49.2,19.1,17.4,33.4,27,31.7,32.4,47.2,47,31.2,35.3,68.9,-3.2,2019
75,Northwestern,101.4,92.6,0.7393,46.6,46.7,16.1,17.9,24.2,26.3,30.2,34,46.4,48,31.3,29.3,67.3,-5.5,2019
76,St. John's ,109,99.5,0.7392,52.3,50.8,14.1,21,21.4,29.7,29.4,39,51.2,50.5,36.2,34.1,72.2,-0.7,2019
77,San Francisco,111,101.5,0.7379,53.5,48.9,15.1,17.2,28.9,25,30.9,30.6,53.8,49.3,35.4,32,67.9,-2.7,2019
78,Vermont ,106.6,97.8,0.7285,52.4,49,16.6,19.4,27.5,21.8,36.3,26.2,52,46.5,35.3,35.3,66.7,-1,2019
79,Liberty ,108.4,99.8,0.722,56.1,48.7,17.2,20.8,25.7,26.5,26,32.4,56.9,48.4,36.6,32.9,63.3,-0.6,2019
80,Texas A&M,106.5,98.3,0.7154,49.3,49.3,20,18.5,32.7,32.5,34.2,27,51,49.1,30.8,33.1,69,-4.4,2019
81,West Virginia,108.3,100,0.7142,47.5,52,21.7,18.6,36.7,28.6,39.7,39.6,47.5,50.9,31.7,35.9,71.7,-4.3,2019
82,Fresno St.,107.2,99,0.714,54.5,48.5,18.2,19.5,27.4,25.4,30.2,35,51.9,50.2,38.2,30.7,69.2,-1.9,2019
83,Notre Dame,107.8,99.6,0.7123,46.2,49,14,16.4,29,31.1,30.1,21.8,45.4,48.6,31.5,33.1,66.6,-5.3,2019
84,Davidson,107.5,99.4,0.7114,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30,52.8,47.3,35.6,33,66.1,-0.9,2019
85,Oklahoma St.,109,100.9,0.7071,50.1,50.3,18,17.6,26.4,29.4,30.6,31.5,46,48.3,37.2,35.4,67.4,-4.4,2019
86,Yale ,110.8,102.7,0.7064,56.1,47.2,18.1,15.2,26.3,24.4,30.5,30.6,56.1,47.5,37.4,31.2,72.1,-0.9,2019
87,USC,108.6,100.7,0.7054,52.8,49.1,16.5,18.1,27,29.9,27.6,30,50.3,48.4,38.2,33.4,71.1,-7.4,2019
88,Northeastern ,109.7,101.8,0.7021,57.2,51.8,16.7,16.7,22.7,24.3,34.3,28,56.4,52.5,38.8,33.6,67.5,-2.7,2019
89,Southern Miss,106.8,99.3,0.6985,53.2,48.4,15.8,19.6,23,28.2,23.6,30.1,49.9,47,39.3,33.3,66,-4.7,2019
90,Georgetown,108.5,101.1,0.6933,51.2,50.1,18.1,16.1,29.2,26,38.6,30.1,49.6,49.2,35.9,34.3,73.8,-2.1,2019
91,UNC Greensboro,104.6,97.5,0.6912,51.4,50.7,17.3,22.4,31.7,29.5,30.6,32.3,51.3,49.7,34.4,35,69,2,2019
92,East Tennessee St.,107.4,100.3,0.689,54.4,52.1,20.1,20.7,36.9,23.6,30.1,30,54.8,47.9,35.7,38.8,68.5,-1.4,2019
93,BYU,110,102.7,0.6868,52.8,50.7,15.3,17.6,23.7,27,40,35.4,54.7,48.3,33,36.6,72.6,-3.2,2019
94,San Diego,104.1,97.4,0.6839,52.4,49.6,18.8,17.5,24.1,22,32.4,37.3,52.4,49.7,34.8,32.9,68.1,-3.8,2019
95,South Dakota St.,111,103.8,0.6836,58.5,50.2,16.3,15.6,23.9,22.7,31.9,23.7,56.2,48.8,41.2,34.5,72.4,-3.5,2019
96,DePaul,110.9,103.8,0.6823,52.4,52.5,19.3,17.7,32.8,24.7,35.4,31.3,52.7,50.8,34.5,36.5,70.6,-4.7,2019
97,SMU,111.8,104.7,0.6814,51.2,50,16.6,17.5,33.4,31.6,27.8,29.5,51.3,48.2,34.1,35.1,66.3,-7,2019
98,Utah,113.6,106.4,0.6799,55,52.3,19.2,14.7,31,27.1,35.5,32.5,54.6,51.7,37,35.6,67.6,-4.5,2019
99,Georgia Southern,107.3,100.6,0.6782,54.3,51.4,18.6,20,27.4,28.7,35,31.3,56.8,51.7,32.4,34,74.8,-4.9,2019
100,Penn,103.8,97.3,0.6776,52.6,49.1,18.4,19,24.8,26.3,28.1,25.5,52.9,48.7,34.7,33.3,68.6,-5,2019
101,St. Bonaventure,101.2,95,0.6742,48.3,47.2,18.7,19.8,29.2,28.7,28.2,31.5,47.9,46.2,32.8,32.3,65.6,-8.1,2019
102,UCLA,107.8,101.3,0.6728,52,49.6,19,15.1,30.8,27.1,38.2,27.6,51.4,47.9,35.5,34.7,74,-5.6,2019
103,Saint Louis ,102.1,96,0.6691,46.8,46.9,19,19.4,36.1,25.3,39.7,32.9,47.1,46.9,30.8,31.3,67.6,-3.1,2019
104,Arizona,103.8,97.7,0.6668,49,50.9,16.7,20.3,28.4,25.9,33.3,35,48.1,51.9,33.6,32.9,68.2,-4.5,2019
105,Oregon St.,110.3,103.8,0.6666,52.2,50.2,18.3,17.6,30.8,29,36.8,33.5,54.5,46.7,32.1,37.3,67.2,-4.2,2019
106,Hofstra,115,108.3,0.6652,55.9,52.1,13.8,18.3,26.8,29.9,37.7,25,54.5,51.5,38.7,35.3,69,-1.8,2019
107,Connecticut,107.5,101.3,0.6646,51,49.6,18.5,20,32.3,30.2,32.7,39.2,50.7,49.2,34.4,33.5,70.3,-6.2,2019
108,Pittsburgh,104,98,0.6632,47.9,47.7,19.6,21.3,32.1,32.8,42.3,32.9,46.9,45.8,33.1,33.6,68.7,-5.8,2019
109,Akron,98.4,92.8,0.6631,48.2,45.5,17.3,19.1,25.1,29.9,27.7,30.6,48.8,46.1,31.7,29.6,67.5,-8,2019
110,Georgia St. ,106.9,100.9,0.6619,54.4,50.1,16.6,21.1,23.3,33.6,35.7,31.3,51.8,50.5,38.4,33,71.3,-1.3,2019
111,San Diego St.,102.5,96.8,0.6592,49.9,48.2,18.3,18.8,28.9,28.4,35.2,33.3,47.9,47.2,35.6,33,68,-4,2019
112,Wright St.,106,100.1,0.6584,51,53.1,17.3,20.1,30.8,25.9,35.1,28.6,50.4,52.1,34.6,36.5,66.6,-6.8,2019
113,Northern Kentucky ,108.1,102.2,0.6572,55,48.9,17.6,18.5,30.7,26.5,35.5,35.2,55.3,49.5,36.4,31.9,69.2,-2.5,2019
114,Loyola Chicago,104.2,98.4,0.6568,55.1,51.1,18.8,20.5,19.9,21.7,32,23.9,55,48.7,36.7,36.6,64.2,-7.2,2019
115,Bowling Green,107.6,101.8,0.6543,50.5,50.8,16.6,17.8,30.7,24.8,34.9,31.1,48.8,50,35.8,34.6,71.5,-4.2,2019
116,Grand Canyon,106.9,101.2,0.6516,51.5,50.1,17.2,19.4,29.4,25.3,34.5,29.9,52.6,48.4,33.2,35.5,69.2,-5.6,2019
117,Boston College,107,101.3,0.6516,48.5,48.4,17.5,16.6,28.6,31.5,35,29.4,49.1,48.8,31.7,32,68.7,-4.9,2019
118,Old Dominion ,100.6,95.4,0.647,47.7,45.6,17.9,18.6,32.3,24.8,29.5,32.4,44.6,43.4,35.3,32.5,65.9,-1.6,2019
119,South Florida,101.9,96.7,0.6465,48.7,49,22.9,22.2,37.1,26.6,50.2,44.9,48.5,48.9,32.7,32.7,68.6,-4.9,2019
120,Boise St.,107.7,102.3,0.6443,53.9,51.8,17.3,18.5,23.5,24.4,31.8,33.6,54.7,52,35.2,34.3,66.9,-12,2019
121,Drake,106.8,101.5,0.6408,53.9,48.7,19.2,16.7,24.6,26,33.4,29.2,53.7,50.7,36,30.1,70.5,-3,2019
122,Tulsa,104.4,99.4,0.6379,51.2,48.1,18,17.6,23,29.4,43.4,30.3,51.3,47.3,34,32.8,70.1,-4,2019
